pairID,predicted_label
9847,neutral
9848,entailment
9849,entailment
9850,entailment
9851,contradiction
9852,entailment
9853,contradiction
9854,neutral
9855,entailment
9856,neutral
9857,contradiction
9858,entailment
9859,neutral
9860,entailment
9861,entailment
9862,entailment
9863,entailment
9864,entailment
9865,contradiction
9866,entailment
9867,entailment
9868,neutral
9869,entailment
9870,contradiction
9871,entailment
9872,entailment
9873,contradiction
9874,contradiction
9875,contradiction
9876,neutral
9877,neutral
9878,entailment
9879,contradiction
9880,entailment
9881,entailment
9882,entailment
9883,contradiction
9884,entailment
9885,neutral
9886,neutral
9887,entailment
9888,entailment
9889,neutral
9890,entailment
9891,entailment
9892,neutral
9893,neutral
9894,entailment
9895,entailment
9896,neutral
9897,neutral
9898,neutral
9899,entailment
9900,contradiction
9901,contradiction
9902,neutral
9903,neutral
9904,entailment
9905,entailment
9906,entailment
9907,entailment
9908,entailment
9909,neutral
9910,entailment
9911,neutral
9912,neutral
9913,neutral
9914,contradiction
9915,contradiction
9916,entailment
9917,contradiction
9918,neutral
9919,neutral
9920,neutral
9921,entailment
9922,entailment
9923,entailment
9924,contradiction
9925,entailment
9926,entailment
9927,entailment
9928,entailment
9929,entailment
9930,entailment
9931,entailment
9932,contradiction
9933,neutral
9934,entailment
9935,contradiction
9936,neutral
9937,contradiction
9938,contradiction
9939,neutral
9940,entailment
9941,neutral
9942,contradiction
9943,neutral
9944,entailment
9945,neutral
9946,contradiction
9947,entailment
9948,contradiction
9949,neutral
9950,contradiction
9951,contradiction
9952,neutral
9953,contradiction
9954,neutral
9955,neutral
9956,entailment
9957,neutral
9958,contradiction
9959,entailment
9960,neutral
9961,neutral
9962,neutral
9963,neutral
9964,entailment
9965,neutral
9966,contradiction
9967,contradiction
9968,entailment
9969,neutral
9970,entailment
9971,neutral
9972,neutral
9973,neutral
9974,neutral
9975,contradiction
9976,neutral
9977,contradiction
9978,contradiction
9979,neutral
9980,contradiction
9981,neutral
9982,entailment
9983,neutral
9984,entailment
9985,entailment
9986,entailment
9987,contradiction
9988,contradiction
9989,neutral
9990,neutral
9991,neutral
9992,contradiction
9993,contradiction
9994,contradiction
9995,neutral
9996,entailment
9997,neutral
9998,contradiction
9999,neutral
10000,contradiction
10001,entailment
10002,entailment
10003,neutral
10004,entailment
10005,neutral
10006,neutral
10007,contradiction
10008,contradiction
10009,contradiction
10010,entailment
10011,contradiction
10012,entailment
10013,contradiction
10014,neutral
10015,entailment
10016,entailment
10017,contradiction
10018,entailment
10019,entailment
10020,entailment
10021,contradiction
10022,contradiction
10023,contradiction
10024,neutral
10025,contradiction
10026,neutral
10027,neutral
10028,neutral
10029,contradiction
10030,entailment
10031,entailment
10032,contradiction
10033,contradiction
10034,contradiction
10035,neutral
10036,entailment
10037,neutral
10038,neutral
10039,entailment
10040,entailment
10041,entailment
10042,contradiction
10043,entailment
10044,entailment
10045,neutral
10046,neutral
10047,neutral
10048,neutral
10049,entailment
10050,neutral
10051,neutral
10052,entailment
10053,entailment
10054,neutral
10055,contradiction
10056,contradiction
10057,contradiction
10058,entailment
10059,neutral
10060,entailment
10061,contradiction
10062,entailment
10063,contradiction
10064,entailment
10065,neutral
10066,entailment
10067,contradiction
10068,neutral
10069,entailment
10070,contradiction
10071,neutral
10072,entailment
10073,entailment
10074,neutral
10075,neutral
10076,contradiction
10077,contradiction
10078,contradiction
10079,neutral
10080,entailment
10081,contradiction
10082,neutral
10083,neutral
10084,entailment
10085,neutral
10086,neutral
10087,contradiction
10088,neutral
10089,entailment
10090,neutral
10091,entailment
10092,entailment
10093,neutral
10094,entailment
10095,neutral
10096,entailment
10097,entailment
10098,neutral
10099,contradiction
10100,contradiction
10101,neutral
10102,entailment
10103,contradiction
10104,entailment
10105,entailment
10106,neutral
10107,neutral
10108,entailment
10109,contradiction
10110,entailment
10111,entailment
10112,contradiction
10113,neutral
10114,neutral
10115,neutral
10116,entailment
10117,neutral
10118,entailment
10119,entailment
10120,contradiction
10121,neutral
10122,contradiction
10123,contradiction
10124,contradiction
10125,contradiction
10126,neutral
10127,contradiction
10128,neutral
10129,neutral
10130,entailment
10131,entailment
10132,entailment
10133,entailment
10134,contradiction
10135,entailment
10136,neutral
10137,entailment
10138,neutral
10139,neutral
10140,contradiction
10141,entailment
10142,entailment
10143,contradiction
10144,neutral
10145,neutral
10146,entailment
10147,entailment
10148,entailment
10149,neutral
10150,contradiction
10151,entailment
10152,neutral
10153,entailment
10154,contradiction
10155,neutral
10156,contradiction
10157,contradiction
10158,entailment
10159,contradiction
10160,entailment
10161,entailment
10162,contradiction
10163,neutral
10164,entailment
10165,neutral
10166,neutral
10167,neutral
10168,entailment
10169,contradiction
10170,neutral
10171,contradiction
10172,contradiction
10173,contradiction
10174,entailment
10175,entailment
10176,entailment
10177,neutral
10178,entailment
10179,contradiction
10180,neutral
10181,neutral
10182,contradiction
10183,neutral
10184,entailment
10185,contradiction
10186,entailment
10187,neutral
10188,entailment
10189,contradiction
10190,neutral
10191,neutral
10192,neutral
10193,neutral
10194,neutral
10195,contradiction
10196,neutral
10197,entailment
10198,neutral
10199,entailment
10200,neutral
10201,neutral
10202,contradiction
10203,neutral
10204,entailment
10205,contradiction
10206,contradiction
10207,entailment
10208,entailment
10209,entailment
10210,entailment
10211,neutral
10212,entailment
10213,entailment
10214,neutral
10215,contradiction
10216,contradiction
10217,neutral
10218,entailment
10219,entailment
10220,entailment
10221,neutral
10222,entailment
10223,contradiction
10224,neutral
10225,neutral
10226,neutral
10227,neutral
10228,contradiction
10229,entailment
10230,entailment
10231,contradiction
10232,entailment
10233,neutral
10234,entailment
10235,neutral
10236,entailment
10237,contradiction
10238,entailment
10239,entailment
10240,entailment
10241,entailment
10242,contradiction
10243,entailment
10244,entailment
10245,entailment
10246,contradiction
10247,entailment
10248,entailment
10249,neutral
