pairID,predicted_label
0,entailment
1,neutral
2,entailment
3,entailment
4,contradiction
5,neutral
6,contradiction
7,neutral
8,neutral
9,entailment
10,entailment
11,entailment
12,contradiction
13,contradiction
14,neutral
15,entailment
16,contradiction
17,entailment
18,contradiction
19,entailment
20,neutral
21,entailment
22,neutral
23,neutral
24,entailment
25,contradiction
26,contradiction
27,entailment
28,neutral
29,entailment
30,contradiction
31,neutral
32,entailment
33,entailment
34,contradiction
35,entailment
36,contradiction
37,entailment
38,entailment
39,contradiction
40,contradiction
41,neutral
42,contradiction
43,entailment
44,neutral
45,entailment
46,contradiction
47,contradiction
48,entailment
49,entailment
50,entailment
51,entailment
52,neutral
53,contradiction
54,contradiction
55,contradiction
56,neutral
57,entailment
58,neutral
59,entailment
60,contradiction
61,contradiction
62,entailment
63,neutral
64,neutral
65,entailment
66,contradiction
67,entailment
68,entailment
69,contradiction
70,neutral
71,entailment
72,entailment
73,neutral
74,neutral
75,contradiction
76,entailment
77,neutral
78,neutral
79,entailment
80,contradiction
81,contradiction
82,contradiction
83,neutral
84,neutral
85,entailment
86,entailment
87,neutral
88,entailment
89,entailment
90,neutral
91,contradiction
92,entailment
93,contradiction
94,contradiction
95,entailment
96,entailment
97,neutral
98,contradiction
99,entailment
100,contradiction
101,contradiction
102,neutral
103,entailment
104,contradiction
105,neutral
106,entailment
107,contradiction
108,contradiction
109,entailment
110,entailment
111,neutral
112,entailment
113,entailment
114,entailment
115,entailment
116,entailment
117,entailment
118,entailment
119,contradiction
120,neutral
121,contradiction
122,neutral
123,neutral
124,entailment
125,entailment
126,neutral
127,neutral
128,entailment
129,contradiction
130,contradiction
131,entailment
132,contradiction
133,contradiction
134,neutral
135,contradiction
136,neutral
137,entailment
138,entailment
139,contradiction
140,entailment
141,entailment
142,entailment
143,contradiction
144,entailment
145,neutral
146,entailment
147,neutral
148,entailment
149,entailment
150,contradiction
151,entailment
152,entailment
153,entailment
154,entailment
155,entailment
156,contradiction
157,contradiction
158,entailment
159,entailment
160,contradiction
161,contradiction
162,contradiction
163,entailment
164,contradiction
165,entailment
166,entailment
167,entailment
168,entailment
169,contradiction
170,neutral
171,neutral
172,contradiction
173,entailment
174,entailment
175,entailment
176,contradiction
177,neutral
178,neutral
179,entailment
180,entailment
181,entailment
182,neutral
183,entailment
184,entailment
185,neutral
186,neutral
187,contradiction
188,entailment
189,neutral
190,neutral
191,entailment
192,contradiction
193,entailment
194,neutral
195,neutral
196,contradiction
197,entailment
198,entailment
199,entailment
200,neutral
201,entailment
202,entailment
203,neutral
204,neutral
205,entailment
206,entailment
207,entailment
208,entailment
209,contradiction
210,entailment
211,neutral
212,contradiction
213,contradiction
214,entailment
215,neutral
216,neutral
217,entailment
218,contradiction
219,entailment
220,contradiction
221,neutral
222,entailment
223,contradiction
224,entailment
225,contradiction
226,entailment
227,neutral
228,contradiction
229,entailment
230,neutral
231,neutral
232,entailment
233,contradiction
234,neutral
235,entailment
236,neutral
237,neutral
238,entailment
239,entailment
240,entailment
241,entailment
242,entailment
243,neutral
244,entailment
245,contradiction
246,contradiction
247,neutral
248,neutral
249,neutral
250,entailment
251,entailment
252,neutral
253,neutral
254,contradiction
255,entailment
256,entailment
257,contradiction
258,entailment
259,neutral
260,entailment
261,entailment
262,entailment
263,neutral
264,contradiction
265,entailment
266,neutral
267,neutral
268,entailment
269,entailment
270,neutral
271,entailment
272,entailment
273,neutral
274,neutral
275,contradiction
276,neutral
277,neutral
278,entailment
279,entailment
280,contradiction
281,contradiction
282,neutral
283,contradiction
284,contradiction
285,neutral
286,neutral
287,contradiction
288,entailment
289,contradiction
290,neutral
291,contradiction
292,neutral
293,neutral
294,neutral
295,entailment
296,neutral
297,entailment
298,contradiction
299,neutral
300,entailment
301,entailment
302,entailment
303,neutral
304,contradiction
305,neutral
306,entailment
307,neutral
308,neutral
309,contradiction
310,neutral
311,entailment
312,neutral
313,entailment
314,contradiction
315,neutral
316,entailment
317,contradiction
318,neutral
319,contradiction
320,entailment
321,entailment
322,neutral
323,entailment
324,contradiction
325,entailment
326,contradiction
327,contradiction
328,contradiction
329,entailment
330,entailment
331,neutral
332,neutral
333,neutral
334,entailment
335,neutral
336,contradiction
337,contradiction
338,entailment
339,contradiction
340,entailment
341,entailment
342,entailment
343,neutral
344,entailment
345,neutral
346,entailment
347,entailment
348,entailment
349,neutral
350,entailment
351,entailment
352,neutral
353,contradiction
354,entailment
355,neutral
356,neutral
357,contradiction
358,contradiction
359,contradiction
360,neutral
361,contradiction
362,neutral
363,neutral
364,neutral
365,contradiction
366,neutral
367,entailment
368,contradiction
369,neutral
370,neutral
371,entailment
372,entailment
373,neutral
374,contradiction
375,entailment
376,entailment
377,entailment
378,entailment
379,neutral
380,entailment
381,entailment
382,entailment
383,contradiction
384,entailment
385,neutral
386,neutral
387,contradiction
388,neutral
389,entailment
390,entailment
391,neutral
392,entailment
393,contradiction
394,contradiction
395,entailment
396,contradiction
397,contradiction
398,entailment
399,entailment
400,contradiction
401,neutral
